Food Item,Calories (kcal),Saturated Fat (g),Trans Fat (g),Sugar (g),Protein (g)
Apple Pie,237,4.5,0,10.7,2.2
Baked Potato,93,0.04,0,0.82,2.02
Burger,250,6.1,0.3,6.2,13.6
Cheesecake,321,16.4,0,23.4,4.8
Chicken Curry,213,5.1,0.2,2.3,16.1
Chicken Wings,290,8.3,0.4,0,25.1
Chocolate Cake,367,5.7,0.3,39.2,4.2
Crispy Chicken,287,6.1,0.3,0,24.1
Cupcakes,240,4.8,0.2,25.3,3.6
Deviled Eggs,143,3.6,0,1.1,12.6
Donuts,452,14.8,0.7,25.3,5.4
Dumplings,77,0.8,0,0.3,2.6
Fish and Chips,260,3.1,0.1,0.2,18.6
French Fries,312,3.3,0.1,0.5,3.4
French Toast,321,4.1,0.3,2.3,8.6
Fried Rice,130,1.2,0,0.1,2.5
Frozen Yogurt,159,2.3,0.1,25.6,5.1
Garlic Bread,265,8.2,0.1,0.8,8.5
Grilled Cheese Sandwich,352,12.2,0.5,3.6,13.5
Hamburger,254,5.7,0.3,6.7,13.6
Hotdog,212,7.3,0.4,2.6,10.4
Ice Cream,207,9.4,0.5,21.5,2.8
Lasagna,132,3.2,0.2,3.9,7.5
Nachos,475,17.3,0.9,1.2,7.9
Omelette,154,4.7,0.2,0.3,13.1
Onion Rings,155,1.8,0,2.6,3.6
Pancakes,227,2.3,0.1,6.2,6
Pizza,266,5.6,0.3,3.2,11.6
Prime Rib,269,11.1,0.5,0,22.3
Ramen,86,1.2,0,0,1.9
Red Velvet Cake,354,15.1,0.8,45.1,4.2
Samosa,169,3.3,0.2,0,6
Sandwich,237,5.6,0.2,4.1,9.2
Spaghetti Carbonara,154,4.1,0.2,0.5,7.1
Spring Rolls,214,1.5,0,0.8,3.1
Steak,271,10.4,0.5,0,25.2
Strawberry Shortcake,289,6.5,0.3,31.6,2.8
Sushi,121,0.4,0,0.4,3
Tacos,214,5.1,0.2,1.1,13.1
Waffles,291,8.2,0.4,6.6,5.4
